tt0081080	5.1	570
tt0081089	5.5	164
tt0081083	6.2	177
tt0081084	4.9	27
tt0081081	6.5	2305
tt0081082	4.7	28
tt0081087	5.7	47
tt0081088	4.7	302
tt0081085	8.9	18
tt0081086	5.4	298
tt0081090	5.5	39
tt0081091	6.7	25
tt0081094	4.7	28
tt0081092	6.7	95
tt0081093	5.2	22
tt0081099	6.4	1729
tt0081096	7.2	44
tt0081097	5.6	117
tt0022721	7.3	12
tt0071699	7.1	19
tt0095666	6.6	77
tt0022722	4.7	19
tt0095667	5.4	14
tt0095664	8.6	586
tt0022720	7.7	10
tt0095665	5.9	1660
tt0071695	7.3	4465
tt0071696	7.3	1374
tt0071697	7.3	41
tt0095669	6.9	20
tt0032094	7.0	10
tt0056061	5.9	61
tt0071691	7.7	19425
tt0032095	6.4	50
tt0056062	6.9	7738
tt0071692	6.0	312
tt0022727	5.5	23
tt0032096	5.9	9
tt0071693	5.0	136
tt0032097	5.0	54
tt0056060	5.1	917
tt0071694	4.7	130
tt0022725	7.5	1631
tt0032090	5.9	16
tt0056065	5.5	327
tt0095662	6.1	6598
tt0022726	5.5	40
tt0032091	5.9	14
tt0056066	7.2	867
tt0095663	5.7	764
tt0056063	6.3	734
tt0095660	5.9	12
tt0022724	6.8	82
tt0032093	5.9	71
tt0056064	5.6	915
tt0071690	6.7	3354
tt0056069	6.0	164
tt0081025	5.9	46
tt0081026	5.4	14
tt0081023	8.0	36
tt0056068	4.6	519
tt0081024	6.8	37
tt0032098	5.8	28
tt0081029	4.4	16
tt0032099	7.1	50
tt0081027	3.1	3672
tt0081028	5.6	31
tt0081021	4.0	64
tt0081022	5.5	54
tt0081020	4.0	27
tt0022710	4.8	142
tt0071688	7.1	1431
tt0095677	5.4	379
tt0022711	5.5	207
tt0071689	6.8	468
tt0095678	7.4	941
tt0095675	7.5	48379
tt0095676	6.5	61
tt0071684	3.0	26
tt0071685	7.2	240
tt0071686	6.8	179
tt0095679	3.4	188
tt0071687	7.5	1366
tt0022718	7.2	6436
tt0056050	7.2	156
tt0071680	7.6	3959
tt0022719	5.6	12
tt0056051	6.9	229
tt0095670	5.7	71
tt0022716	4.9	147
tt0071682	7.6	1407
tt0022717	5.7	12
tt0071683	5.9	12
tt0022714	5.3	207
tt0056054	6.5	470
tt0095673	6.5	13
tt0022715	5.3	185
tt0056055	4.7	615
tt0095674	6.1	8
tt0056052	7.3	609
tt0095671	4.8	14
tt0022713	5.2	177
tt0056053	6.2	220
tt0095672	5.4	9
tt0056058	8.6	77706
tt0081036	7.1	2889
tt0056059	7.1	14833
tt0081037	6.2	14
tt0056056	5.2	1038
tt0081034	3.7	199
tt0056057	5.2	634
tt0081035	6.2	189
tt0022709	5.2	211
tt0081038	6.8	7
tt0081039	8.8	61
tt0081032	5.3	761
tt0081033	8.2	143
tt0081030	7.7	495
tt0081031	5.7	1592
tt0095644	5.2	92
tt0022700	6.4	1465
tt0095645	4.4	116
tt0095642	5.4	17
tt0095643	6.2	406
tt0095648	6.6	6
tt0056080	4.8	11
tt0095649	6.6	2113
tt0095646	6.0	453
tt0095647	7.8	116602
tt0022707	5.1	202
tt0056083	4.1	741
tt0022708	5.1	186
tt0022705	5.9	96
tt0056081	7.6	463
tt0022706	4.8	36
tt0056082	6.1	425
tt0095640	5.7	1633
tt0022704	6.9	364
tt0056088	5.5	175
tt0095641	7.1	23
tt0022701	7.7	12
tt0056085	7.1	24212
tt0022702	6.2	46
tt0056086	5.6	41
tt0081003	6.7	29
tt0081004	5.5	252
tt0056089	6.1	422
tt0081001	3.1	168
tt0081002	4.7	69
tt0081007	6.4	24
tt0081006	6.3	157
tt0095639	6.8	158
tt0081000	6.6	25
tt0095655	6.1	18819
tt0095656	6.2	26
tt0095654	6.0	6891
tt0095659	4.8	448
tt0095657	8.8	4387
tt0095658	6.7	114
tt0056072	5.7	382
tt0056073	5.4	51
tt0081009	5.5	26
tt0056071	5.8	214
tt0056076	5.8	46
tt0095651	6.0	201
tt0056077	6.9	362
tt0095652	6.2	13570
tt0056074	5.8	65
tt0056075	6.2	610
tt0081014	5.8	37
tt0081015	5.0	97
tt0056078	7.9	36
tt0081012	7.0	83
tt0056079	5.9	468
tt0081013	6.5	126
tt0081018	4.5	134
tt0081019	6.4	653
tt0081016	4.3	140
tt0081017	6.7	99
tt0081010	6.7	101
tt0081011	6.8	239
tt0081069	6.4	61
tt0081067	3.4	34
tt0081068	6.4	99
tt0081061	4.3	309
tt0081062	7.5	5679
tt0081060	6.5	6913
tt0081065	5.1	31
tt0081066	5.2	177
tt0081063	6.3	1779
tt0081064	5.7	44
tt0056090	5.2	17
tt0056091	6.4	122
tt0056094	4.7	36
tt0056095	6.5	3565
tt0056092	5.4	19
tt0056093	6.8	1302
tt0056098	5.7	184
tt0056099	5.7	67
tt0056096	6.6	381
tt0081078	7.0	19
tt0081079	6.8	25
tt0081072	7.6	105
tt0081073	6.0	1062
tt0081070	7.5	27275
tt0081071	6.9	13775
tt0081076	6.6	3813
tt0081077	5.8	15
tt0081075	7.8	16
tt0095688	6.6	13
tt0095689	4.2	128
tt0095686	6.2	188
tt0095687	5.4	28296
tt0095680	5.5	41
tt0095681	6.0	134
tt0095684	6.0	4499
tt0095685	6.7	85
tt0095683	7.4	1429
tt0081047	4.6	226
tt0081048	5.9	31
tt0081045	7.1	29
tt0081040	7.5	2066
tt0081043	4.9	166
tt0081044	5.0	79
tt0081041	6.4	135
tt0095691	7.1	12
tt0095692	5.2	142
tt0095690	6.3	34240
tt0095693	8.6	13
tt0081058	6.3	62
tt0081059	8.2	18048
tt0081056	4.6	244
tt0081057	4.6	438
tt0081051	4.8	169
tt0081054	7.9	86
tt0081055	6.7	1633
tt0081052	6.2	14
tt0081053	7.2	350
tt0071732	7.4	59
tt0046777	6.6	35
tt0071733	7.6	8068
tt0095700	7.2	15
tt0046778	7.3	579
tt0071734	7.1	59
tt0046779	6.1	22
tt0046772	6.5	23
tt0046773	6.6	13
tt0095704	6.7	65
tt0046774	5.3	209
tt0071730	7.2	461
tt0046775	7.0	77
tt0032130	6.0	368
tt0032135	6.4	342
tt0056102	7.2	148
tt0032136	6.0	23
tt0056103	5.1	117
tt0032137	5.6	104
tt0056100	6.7	138
tt0032138	8.1	446574
tt0056101	6.4	384
tt0032131	5.5	36
tt0056106	5.3	12
tt0032132	5.5	102
tt0056107	6.4	289
tt0032133	6.1	13
tt0056104	5.7	381
tt0007167	5.0	31
tt0032134	6.6	370
tt0056105	6.4	606
tt0007160	7.6	21
tt0071729	6.1	22
tt0007162	7.0	3827
tt0046770	6.1	1356
tt0056108	7.2	14
